,name,date,county,size,%_contained,high_temp,low_temp,high_humidity,low_humidity,wind_speed,wind_gust,fuel_temp,fuel_moisture,max_radiation,peak_wind_direction
109,Arrow Fire,5/15/2017,San Luis Obispo,225,100,54.5,32.5,77.33333333333333,30.166666666666668,2.0832000000000006,5.091799999999999,14.939200000000001,9.541,307.06,210.82
110,Olive Fire,7/24/2017,San Luis Obispo,150,100,89.5,58.166666666666664,64.83333333333333,27.0,1.744500000000001,4.232899999999999,27.122299999999996,4.662000000000001,322.44,223.16
111,Lucy Fire,6/14/2017,San Luis Obispo,150,100,83.0,50.0,76.5,29.666666666666668,2.2224000000000004,4.8683999999999985,24.622400000000006,6.224000000000002,345.45,140.35
112,Olive Fire,5/2/2017,San Luis Obispo,130,100,73.83333333333333,45.5,56.0,13.833333333333334,1.619200000000002,4.130500000000001,22.294600000000006,7.167999999999999,309.9,204.8
113,Margarita Fire,9/3/2017,San Luis Obispo,120,100,106.16666666666667,74.83333333333333,50.166666666666664,13.333333333333334,1.597300000000002,4.308899999999998,27.755599999999994,10.709000000000001,246.45,215.02
114,Poly Fire,9/26/2017,San Luis Obispo,105,100,85.0,52.333333333333336,55.0,15.166666666666666,1.2439000000000007,3.4466,19.688900000000004,4.682000000000001,227.23,188.81
115,Linne Fire,9/26/2017,San Luis Obispo,74,100,85.0,52.333333333333336,55.0,15.166666666666666,1.2439000000000007,3.4466,19.688900000000004,4.682000000000001,227.23,188.81
116,Lynch Fire,10/13/2017,San Luis Obispo,73,100,73.0,42.833333333333336,60.5,17.333333333333332,1.2838000000000012,3.1652000000000005,13.972399999999995,4.823000000000001,197.16,160.85
117,Camatta Fire,8/2/2017,San Luis Obispo,70,100,97.83333333333333,70.5,63.833333333333336,23.666666666666668,1.3334000000000004,3.487,29.049499999999988,4.578000000000001,208.36,214.13
118,Tower Fire,7/7/2017,San Luis Obispo,58,100,97.66666666666667,64.66666666666667,59.166666666666664,21.0,1.7805000000000006,4.1705000000000005,29.166600000000017,4.089000000000001,271.86,177.5
119,Zenon Fire,7/20/2017,San Luis Obispo,47,100,89.16666666666667,53.666666666666664,70.33333333333333,24.333333333333332,1.5342000000000013,3.782299999999999,26.260700000000007,3.838,334.15,232.43
121,Cove Fire,9/23/2017,San Luis Obispo,25,100,72.5,43.333333333333336,81.66666666666667,24.5,1.3420000000000007,3.446699999999999,15.98339999999999,6.197999999999996,237.74,178.49
122,Soda Fire,10/20/2017,San Luis Obispo,21,100,75.66666666666667,49.333333333333336,98.66666666666667,30.833333333333332,1.9094,4.322999999999997,12.6894,10.368999999999996,162.44,175.32
123,Rocky Fire,5/20/2017,San Luis Obispo,17,100,74.33333333333333,42.5,48.0,12.0,1.5075000000000014,4.135,23.494099999999992,5.247999999999999,339.84,208.52
124,Shandon Fire,5/7/2017,San Luis Obispo,12,100,49.166666666666664,34.666666666666664,82.5,44.0,1.4896000000000011,3.898200000000001,16.638999999999996,12.842999999999996,294.94,214.83
126,Gate Fire,5/20/2017,San Diego,2056,100,76.41379310344827,50.827586206896555,45.6551724137931,13.655172413793103,1.6321000000000012,4.108600000000002,21.161099999999987,7.030000000000001,332.64,177.57
127,Buffalo Fire,10/17/2017,San Diego,1088,100,82.44827586206897,59.3448275862069,25.24137931034483,8.206896551724139,1.600600000000002,4.4565,17.7831,6.865000000000001,154.27,185.28
128,Range Fire,5/25/2017,San Diego,1000,100,66.82758620689656,44.37931034482759,71.27586206896552,27.724137931034484,1.5561000000000016,3.929499999999999,15.516799999999996,10.974999999999998,332.31,235.88
129,Deluz Fire,5/19/2017,San Diego,486,100,70.96551724137932,47.172413793103445,72.27586206896552,15.275862068965518,1.7302000000000008,4.604800000000001,19.67219999999999,7.732000000000002,334.35,157.65
130,Jennings Fire,7/11/2017,San Diego,400,100,78.79310344827586,58.3448275862069,71.51724137931035,35.241379310344826,1.3822000000000023,3.6069999999999998,25.928300000000018,7.840999999999997,331.74,196.91
131,Lost Fire,7/22/2017,San Diego,255,100,77.17241379310344,57.206896551724135,69.24137931034483,32.172413793103445,1.1764000000000019,2.9863999999999997,25.289500000000004,8.889000000000001,293.06,213.35
132,Eclipse Fire,8/21/2017,San Diego,200,100,72.93103448275862,53.13793103448276,73.03448275862068,34.48275862068966,1.382500000000002,3.589200000000001,23.2001,7.179999999999996,288.4,189.11
133,Border Fire,8/31/2017,San Diego,130,100,83.96551724137932,62.724137931034484,53.62068965517241,21.862068965517242,1.9759000000000009,6.432499999999999,27.961399999999994,6.260000000000002,230.51,98.44
134,Church Fire,10/21/2017,San Diego,100,100,65.93103448275862,43.793103448275865,83.3103448275862,29.06896551724138,2.3026000000000018,7.960900000000002,21.460700000000003,8.753000000000002,207.02,128.25
135,Loma Fire,10/13/2017,San Diego,81,100,68.86206896551724,48.48275862068966,73.06896551724138,31.379310344827587,1.4759000000000018,4.406800000000001,19.5606,5.304000000000001,223.3,126.73
136,Montezuma Fire,8/26/2017,San Diego,62,100,80.82758620689656,56.89655172413793,69.72413793103448,29.551724137931036,1.2973000000000026,3.6340000000000017,28.9503,5.433,262.83,168.26
137,Douglas Fire,6/13/2017,San Diego,50,100,69.82758620689656,43.6551724137931,73.17241379310344,26.517241379310345,1.6006000000000011,3.639099999999999,21.6331,7.210000000000003,357.51,205.95
138,Black Fire,6/25/2017,San Diego,36,100,84.03448275862068,59.3448275862069,62.03448275862069,26.06896551724138,1.6675000000000006,4.599600000000002,26.84419999999999,4.248999999999999,356.21,203.7
139,Wilson Fire,10/15/2017,San Diego,25,100,81.03448275862068,56.89655172413793,43.03448275862069,6.0,1.4936000000000016,4.353400000000001,21.871599999999997,3.8679999999999994,214.89,136.73
140,Border 9 Fire,9/7/2017,San Diego,25,100,78.82758620689656,57.58620689655172,70.34482758620689,29.17241379310345,1.3153000000000024,4.2415,23.799700000000012,8.666000000000004,219.31,153.53
141,Sloane Fire,6/27/2017,San Diego,25,100,83.96551724137932,60.58620689655172,38.0,13.931034482758621,1.494100000000001,3.9918000000000013,23.0339,4.5150000000000015,360.81,199.17
142,Ribbonwood Fire,5/24/2017,San Diego,25,100,74.34482758620689,50.241379310344826,69.48275862068965,29.413793103448278,1.5783000000000014,4.063400000000002,16.005799999999997,10.499000000000006,327.03,239.79
143,Dehesa Fire,6/4/2017,San Diego,12,100,72.65517241379311,53.172413793103445,70.96551724137932,38.310344827586206,1.3418000000000023,3.1061000000000005,22.494099999999992,8.993,337.13,203.02
161,Bitterwater Fire,11/25/2017,San Benito,47,100,74.5,51.0,79.25,22.75,3.7191999999999994,7.755899999999998,11.667099999999998,14.14599999999999,103.34,158.73
162,Valley Fire,7/4/2017,San Benito,34,100,86.25,60.25,70.0,21.25,2.0921,4.5462,29.416400000000007,4.2429999999999986,321.49,137.5
163,Bitterwater Fire,5/21/2017,San Benito,21,100,87.5,59.0,42.0,13.0,0.0045000000000000005,0.06709999999999999,24.7717,5.150000000000001,288.25,4.03
164,Latrobe Fire,7/26/2017,Sacramento,1286,100,77.9,53.0,56.2,22.6,0.8598000000000009,2.9643000000000006,22.60619999999999,7.267,325.64,188.34
165,Clay Fire,6/1/2017,Sacramento,68,100,66.2,41.4,81.0,34.8,0.9760000000000008,3.320899999999999,17.8278,10.599,335.81,203.57
166,Latrobe Fire,6/27/2017,Sacramento,35,100,75.5,48.3,57.1,17.7,0.9360000000000014,3.1475000000000004,20.550100000000008,6.178,363.12,201.12
167,Manzanita Fire,6/26/2017,Riverside,6309,100,91.28,67.48,28.44,5.84,2.4771000000000005,5.7574000000000005,24.760899999999996,3.4349999999999987,335.14,269.86
168,Palmer Fire,9/2/2017,Riverside,3874,100,81.76,61.96,50.0,10.08,2.1552999999999995,5.810600000000001,24.25010000000001,9.232000000000005,197.78,161.99
169,Opera Fire,4/30/2017,Riverside,1350,100,62.44,40.04,20.4,5.72,1.7661000000000007,4.563100000000004,19.150199999999998,4.502,312.66,184.35
170,Blaine Fire,8/13/2017,Riverside,1044,100,77.0,51.72,55.92,14.32,2.2120999999999995,5.288300000000003,22.527299999999997,5.577000000000002,314.47,247.42
171,Wildomar Fire,10/26/2017,Riverside,866,100,79.8,55.72,21.44,7.72,1.472100000000002,3.726900000000004,16.821599999999993,4.445000000000002,100.24,184.86
172,Mias Fire,8/14/2017,Riverside,545,100,78.36,52.64,49.96,10.88,2.118499999999999,5.082800000000002,21.6385,6.2589999999999995,310.24,264.9
174,Eagle Fire,7/4/2017,Riverside,205,100,81.72,59.2,31.8,8.12,1.7261000000000006,4.156499999999999,28.094099999999994,4.18,271.32,242.72
175,Rose Fire,7/31/2017,Riverside,200,100,77.36,53.88,59.52,19.4,1.2711000000000023,4.2196000000000025,26.716899999999995,8.993999999999994,186.44,179.59
176,Hills Fire,8/19/2017,Riverside,168,100,75.84,53.72,62.28,22.76,1.3689000000000016,4.040200000000001,23.7339,6.459,295.81,221.13
177,Smiley Fire,6/18/2017,Riverside,153,100,86.48,59.32,37.56,10.64,1.7079999999999995,4.196399999999999,27.772400000000008,4.441999999999999,326.31,244.21
178,Stewart Fire,8/4/2017,Riverside,122,100,75.4,55.76,64.84,26.56,1.8378000000000005,4.3801,25.216200000000008,9.412,293.88,244.14
179,Lamb Fire,5/25/2017,Riverside,120,100,68.8,42.76,60.16,13.48,2.0747999999999998,4.885700000000002,16.999899999999993,8.076999999999998,334.56,254.31
180,Canyon Fire,6/15/2017,Riverside,105,100,78.84,54.04,37.4,11.4,1.7081000000000006,4.213800000000001,25.2284,4.4830000000000005,330.98,259.5
181,Reed Fire,8/7/2017,Riverside,92,100,73.44,53.2,61.56,24.64,1.663400000000001,4.196800000000001,25.6499,5.547999999999999,313.58,256.51
182,Marlborough Fire,8/31/2017,Riverside,85,100,87.08,67.64,36.44,12.16,2.2760000000000007,6.611000000000001,27.2834,6.575999999999999,223.88,105.59
183,Ellis Fire,7/18/2017,Riverside,72,100,79.0,58.32,56.24,23.52,1.3774000000000017,3.915800000000002,26.0557,8.290000000000003,273.48,217.81
184,Placentia Fire,7/28/2017,Riverside,63,100,77.6,54.88,50.08,18.68,1.5702000000000005,4.2058,26.833000000000002,6.712999999999999,296.19,232.22
185,Extension Fire,10/23/2017,Riverside,50,100,81.24,59.52,20.16,6.08,1.9722000000000002,5.976000000000003,21.416900000000002,4.106,118.7,126.27
186,Lago Fire,7/3/2017,Riverside,50,100,77.76,53.32,41.44,8.76,1.8202000000000007,4.321700000000003,26.7722,3.9539999999999993,297.5,241.51
187,Serenas Fire,5/28/2017,Riverside,48,100,72.24,44.76,63.48,16.6,1.4892000000000012,4.0356,19.632699999999996,6.990999999999998,278.79,221.18
188,Canyon Fire,8/27/2017,Riverside,46,100,86.2,61.32,38.2,11.2,1.4857000000000022,4.308299999999999,28.63899999999999,4.766999999999999,235.8,161.6
189,Riverbottom Fire,12/21/2017,Riverside,45,100,52.88,31.32,75.4,10.76,1.8521999999999992,5.3685,6.266600000000002,6.499000000000004,40.28,124.78
191,Palm Fire,11/14/2017,Riverside,40,100,67.84,47.6,38.12,10.48,1.9224000000000019,4.142899999999998,12.5002,7.187999999999996,59.79,236.32
192,Melba Fire,9/29/2017,Riverside,35,100,75.32,52.84,29.16,8.16,1.7348000000000001,4.304500000000001,17.316499999999987,6.625000000000001,188.92,260.46
193,Jurupa Fire,7/4/2017,Riverside,35,100,81.72,59.2,31.8,8.12,1.7261000000000006,4.156499999999999,28.094099999999994,4.18,271.32,242.72
194,Smiley Fire,5/21/2017,Riverside,35,100,69.44,48.04,22.44,7.56,1.8425,4.4872000000000005,22.0172,5.168000000000001,324.43,238.64
195,Ellie Fire,9/10/2017,Riverside,34,100,72.88,53.96,56.88,23.8,1.3197000000000019,4.108500000000001,23.539000000000005,10.436,206.44,182.41
196,Christmas Fire,7/7/2017,Riverside,33,100,88.8,64.68,32.92,12.0,1.7570000000000008,4.6085,27.954900000000006,5.900999999999999,225.77,207.02
197,Valley Fire,6/13/2017,Riverside,33,100,70.08,43.08,57.92,15.0,1.5653000000000017,4.0440000000000005,22.067099999999996,5.989999999999998,333.35,236.99
198,Washington Fire,7/13/2017,Riverside,32,100,79.0,57.88,55.16,18.44,1.7311000000000012,4.635000000000002,27.57820000000001,6.475999999999998,299.21,201.95
199,Timber Fire,7/3/2017,Riverside,30,100,77.76,53.32,41.44,8.76,1.8202000000000007,4.321700000000003,26.7722,3.9539999999999993,297.5,241.51
200,Portola Fire,10/10/2017,Riverside,23,100,67.6,47.32,12.84,5.12,1.2886000000000017,3.7366999999999995,14.767100000000003,4.497999999999998,155.29,175.22
201,Longhorn Fire,12/13/2017,Riverside,19,100,67.08,47.8,10.04,2.6,1.896799999999999,5.735000000000001,10.716499999999998,3.2060000000000017,32.53,129.91
202,Nuevo Fire,8/13/2017,Riverside,19,100,77.0,51.72,55.92,14.32,2.2120999999999995,5.288300000000003,22.527299999999997,5.577000000000002,314.47,247.42
203,Navajo Fire,7/13/2017,Riverside,10,100,79.0,57.88,55.16,18.44,1.7311000000000012,4.635000000000002,27.57820000000001,6.475999999999998,299.21,201.95
204,Nuevo Fire,6/15/2017,Riverside,28,100,78.84,54.04,37.4,11.4,1.7081000000000006,4.213800000000001,25.2284,4.4830000000000005,330.98,259.5
205,Vernon Fire,6/3/2017,Riverside,27,100,78.12,52.68,51.36,13.12,1.6586000000000005,4.2056000000000004,23.8671,5.631000000000001,328.06,230.0
206,Trellis Fire,6/18/2017,Riverside,26,100,86.48,59.32,37.56,10.64,1.7079999999999995,4.196399999999999,27.772400000000008,4.441999999999999,326.31,244.21
207,Fairview Fire,6/1/2017,Riverside,26,100,66.48,45.64,76.88,32.88,1.5919000000000012,4.415700000000001,21.945099999999982,7.818999999999996,320.55,213.32
208,Reed Fire,6/13/2017,Riverside,20,100,70.08,43.08,57.92,15.0,1.5653000000000017,4.0440000000000005,22.067099999999996,5.989999999999998,333.35,236.99
209,Canyon Fire,5/14/2017,Riverside,17,100,56.28,36.44,60.88,20.84,2.7981,6.2359,10.955599999999999,13.328999999999997,251.99,266.71
210,66 Fire,4/12/2017,Riverside,15,100,60.2,40.08,46.08,11.56,2.2218999999999998,5.001700000000003,12.316500000000005,9.944,267.63,242.65
211,Jameson Fire,4/30/2017,Riverside,12,100,62.44,40.04,20.4,5.72,1.7661000000000007,4.563100000000004,19.150199999999998,4.502,312.66,184.35
